Country,Ano,CO2_kg_per_ppp_US
Saudi Arabia,2003,0.30655405039591554
Saudi Arabia,2004,0.30460227538347
Saudi Arabia,2005,0.3019359199582504
Saudi Arabia,2006,0.29967622429906365
Saudi Arabia,2007,0.2979775843354935
Saudi Arabia,2008,0.2967898228244955
Saudi Arabia,2009,0.2970735184830104
Saudi Arabia,2010,0.2980998170053949
Saudi Arabia,2011,0.2973045624449981
Saudi Arabia,2012,0.2969227593541789
Saudi Arabia,2013,0.29694380047151
Saudi Arabia,2014,0.2979279980314402
Saudi Arabia,2015,0.30167511067645175
Saudi Arabia,2016,0.3055706907684477
Saudi Arabia,2017,0.3076302504589341
Saudi Arabia,2018,0.3079226218989228
Turkey,1990,0.30341129972837466
Turkey,1991,0.3018501947886697
Turkey,1992,0.29713820443809147
Turkey,1993,0.289763874341521
Turkey,1994,0.2871604555170379
Turkey,1995,0.2852870568057845
Turkey,1996,0.28455263080257154
Turkey,1997,0.28195726437504093
Turkey,1998,0.28905900260093115
Turkey,1999,0.29520275362166287
Turkey,2000,0.3010522981411892
Turkey,2001,0.30371924448363896
Turkey,2002,0.3066683399352373
Turkey,2003,0.30946656641232156
Turkey,2004,0.3091390429955629
Turkey,2005,0.3073872466480429
Turkey,2006,0.30465061796350457
Turkey,2007,0.3022242099762995
Turkey,2008,0.2977598463771686
Turkey,2009,0.2946244115808044
Turkey,2010,0.28955857535615837
Turkey,2011,0.28335234950523563
Turkey,2012,0.2772803567953431
Turkey,2013,0.26953189728498744
Turkey,2014,0.26214290567733123
Turkey,2015,0.25463587966792095
Turkey,2016,0.2482922080950864
Turkey,2017,0.24309823607508044
Turkey,2018,0.23829465065368957
United States,1990,0.8124891835582035
United States,1991,0.7963751002060592
United States,1992,0.7796154836494721
United States,1993,0.7660199295227924
United States,1994,0.7504975616391604
United States,1995,0.7354899965231281
United States,1996,0.7219933597889958
United States,1997,0.7106939206019585
United States,1998,0.697839647995589
United States,1999,0.6831855603032562
United States,2000,0.6689122249570668
United States,2001,0.6551546219983473
United States,2002,0.6405474255915435
United States,2003,0.6264304781532647
United States,2004,0.6118662990083903
United States,2005,0.596472239523412
United States,2006,0.5801280118066456
United States,2007,0.5648039657328625
United States,2008,0.5501346532174385
United States,2009,0.5363041987448242
United States,2010,0.5240855204476015
United States,2011,0.5112803079830026
United States,2012,0.4978710423699852
United States,2013,0.4855510988811377
United States,2014,0.4734977435304274
United States,2015,0.4613599324524482
United States,2016,0.4496004113759401
United States,2017,0.4378897967368345
United States,2018,0.42665093542818877
South Africa,1990,1.0481108777704056
South Africa,1991,1.0248970009538858
South Africa,1992,1.0120849035828354
South Africa,1993,1.0044511262151137
South Africa,1994,0.993497711475354
South Africa,1995,0.9853878098044675
South Africa,1996,0.9758495945159866
South Africa,1997,0.9701363687324519
South Africa,1998,0.9669990086959083
South Africa,1999,0.9537800183648927
South Africa,2000,0.938908202616369
South Africa,2001,0.9327775040951445
South Africa,2002,0.9259367152948553
South Africa,2003,0.9214003422734834
South Africa,2004,0.9175755337721047
South Africa,2005,0.9073890143323855
South Africa,2006,0.8926934611705576
South Africa,2007,0.8772983574210539
South Africa,2008,0.8651295183481491
South Africa,2009,0.8523485106027634
South Africa,2010,0.8414875913238603
South Africa,2011,0.8271307505654054
South Africa,2012,0.8162898057224276
South Africa,2013,0.8053138370114372
South Africa,2014,0.7956846836881722
South Africa,2015,0.7843198031451415
South Africa,2016,0.7734907707847224
South Africa,2017,0.7636689927965975
South Africa,2018,0.753463246882546
